,Area(0072-0135),Mean(0072-0135),Min(0072-0135),Max(0072-0135),Area(0338-0243),Mean(0338-0243),Min(0338-0243),Max(0338-0243),Area(0351-0330),Mean(0351-0330),Min(0351-0330),Max(0351-0330),Area(0457-0352),Mean(0457-0352),Min(0457-0352),Max(0457-0352),Area(0454-0435),Mean(0454-0435),Min(0454-0435),Max(0454-0435)
1,1254,126.482,-81.0,752.0,1000,76.107,-71.0,529.0,1101,135.059,-86.0,709.0,846,55.439,-68.0,350.0,1024,53.551,-66.0,440.0
2,1254,118.181,-66.0,713.0,1000,78.689,-82.0,904.0,1101,126.837,-62.0,738.0,846,59.187,-62.0,466.0,1024,54.028,-62.0,335.0
3,1254,120.502,-99.0,748.0,1000,77.591,-66.0,749.0,1101,129.239,-66.0,753.0,846,56.648,-74.0,478.0,1024,56.355,-67.0,433.0
4,1254,120.181,-73.0,838.0,1000,78.317,-68.0,651.0,1101,126.5,-109.0,689.0,846,57.202,-67.0,394.0,1024,54.826,-52.0,418.0
5,1254,114.96,-63.0,929.0,1000,80.219,-64.0,755.0,1101,127.121,-86.0,683.0,846,57.057,-68.0,506.0,1024,58.813,-58.0,371.0
6,1254,122.593,-85.0,785.0,1000,80.109,-75.0,612.0,1101,128.948,-89.0,911.0,846,57.799,-44.0,350.0,1024,55.538,-68.0,375.0
7,1254,115.88,-67.0,639.0,1000,78.363,-48.0,634.0,1101,124.294,-73.0,895.0,846,51.174,-46.0,368.0,1024,60.988,-85.0,430.0
8,1254,119.087,-111.0,835.0,1000,73.353,-70.0,641.0,1101,126.447,-60.0,737.0,846,53.634,-45.0,329.0,1024,59.766,-67.0,396.0
9,1254,117.448,-99.0,732.0,1000,73.073,-65.0,675.0,1101,128.045,-91.0,784.0,846,58.191,-53.0,520.0,1024,54.843,-71.0,330.0
10,1254,114.581,-80.0,845.0,1000,70.411,-45.0,658.0,1101,130.374,-80.0,679.0,846,59.385,-71.0,405.0,1024,57.234,-60.0,464.0
11,1254,119.64,-86.0,890.0,1000,78.743,-74.0,551.0,1101,125.371,-94.0,807.0,846,55.046,-48.0,322.0,1024,58.746,-60.0,446.0
12,1254,117.585,-62.0,848.0,1000,76.922,-54.0,754.0,1101,124.748,-76.0,773.0,846,53.488,-52.0,386.0,1024,52.998,-48.0,355.0
13,1254,120.257,-66.0,752.0,1000,74.163,-58.0,800.0,1101,119.388,-84.0,822.0,846,52.046,-41.0,471.0,1024,49.757,-77.0,302.0
14,1254,123.593,-108.0,787.0,1000,78.2,-54.0,621.0,1101,128.979,-69.0,799.0,846,53.012,-61.0,426.0,1024,53.331,-46.0,406.0
15,1254,121.053,-49.0,705.0,1000,75.47,-54.0,610.0,1101,131.034,-65.0,811.0,846,55.902,-45.0,401.0,1024,53.521,-68.0,521.0
